,Title,Score
0,Sousou no Frieren,9.35
1,Fullmetal Alchemist: Brotherhood,9.09
2,Steins;Gate,9.07
3,Gintama°,9.06
4,Shingeki no Kyojin Season 3 Part 2,9.05
5,Gintama: The Final,9.04
6,Gintama',9.03
7,Hunter x Hunter (2011),9.03
8,Ginga Eiyuu Densetsu,9.02
9,Gintama': Enchousen,9.02
10,Bleach: Sennen Kessen-hen,9.01
11,Kaguya-sama wa Kokurasetai: Ultra Romantic,9.01
12,Gintama.,8.98
13,Fruits Basket: The Final,8.97
14,Monogatari Series: Off & Monster Season,8.97
15,Koe no Katachi,8.93
16,Clannad: After Story,8.93
17,Gintama,8.93
18,3-gatsu no Lion 2nd Season,8.92
19,Code Geass: Hangyaku no Lelouch R2,8.91
20,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9
21,Kusuriya no Hitorigoto,8.9
22,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.89
23,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
24,Monster,8.88
25,Owarimonogatari 2nd Season,8.87
26,Violet Evergarden Movie,8.86
27,Kimi no Na wa.,8.84
28,Boku no Kokoro no Yabai Yatsu 2nd Season,8.83
29,Jujutsu Kaisen 2nd Season,8.82
30,Kingdom 3rd Season,8.82
31,Vinland Saga Season 2,8.81
32,Gintama.: Shirogane no Tamashii-hen,8.81
33,Mob Psycho 100 II,8.79
34,Kizumonogatari III: Reiketsu-hen,8.78
35,Bocchi the Rock!,8.78
36,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78
37,Shingeki no Kyojin: The Final Season,8.78
38,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.77
39,Sen to Chihiro no Kamikakushi,8.77
40,Hajime no Ippo,8.77
41,Shingeki no Kyojin: The Final Season Part 2,8.76
42,Monogatari Series: Second Season,8.76
43,Cowboy Bebop,8.75
44,Hibike! Euphonium 3,8.75
45,The First Slam Dunk,8.75
46,Vinland Saga,8.75
47,Kimetsu no Yaiba: Yuukaku-hen,8.74
48,Kingdom 4th Season,8.74
49,Kingdom 5th Season,8.73
50,Shiguang Dailiren,8.73
51,Mushishi Zoku Shou 2nd Season,8.72
52,One Piece,8.72
53,Ashita no Joe 2,8.72
54,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.71
55,Mob Psycho 100 III,8.71
56,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7
57,86 Part 2,8.7
58,Code Geass: Hangyaku no Lelouch,8.7
59,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.69
60,Great Teacher Onizuka,8.69
61,Mo Dao Zu Shi: Wanjie Pian,8.69
62,Mushishi Zoku Shou,8.69
63,Tian Guan Cifu Er,8.68
64,Violet Evergarden,8.68
65,Haikyuu!! Movie: Gomisuteba no Kessen,8.67
66,Hajime no Ippo: New Challenger,8.67
67,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.66
68,Howl no Ugoku Shiro,8.66
69,Mononoke Hime,8.66
70,Mushishi,8.66
71,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.66
72,Odd Taxi,8.66
73,Made in Abyss,8.64
74,Natsume Yuujinchou Shi,8.64
75,Shigatsu wa Kimi no Uso,8.64
76,"""Oshi no Ko""",8.64
77,Bungou Stray Dogs 5th Season,8.64
78,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63
79,Made in Abyss: Retsujitsu no Ougonkyou,8.63
80,Shiguang Dailiren II,8.63
81,Tengen Toppa Gurren Lagann,8.63
82,Shingeki no Kyojin Season 3,8.62
83,Death Note,8.62
84,Haikyuu!! Second Season,8.62
85,Ping Pong the Animation,8.62
86,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61
87,Natsume Yuujinchou Roku,8.61
88,Dungeon Meshi,8.61
89,Cyberpunk: Edgerunners,8.6
90,Hajime no Ippo: Rising,8.6
91,Suzumiya Haruhi no Shoushitsu,8.6
92,Jujutsu Kaisen,8.6
93,Kenpuu Denki Berserk,8.59
94,Mushishi Zoku Shou: Suzu no Shizuku,8.59
95,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59
96,Shin Evangelion Movie:||,8.59
97,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.58
98,Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.58
99,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.57
100,Kizumonogatari II: Nekketsu-hen,8.57
101,Natsume Yuujinchou San,8.57
102,Ookami Kodomo no Ame to Yuki,8.57
103,Natsume Yuujinchou Go,8.56
104,Doupo Cangqiong: San Nian Zhi Yue,8.56
105,Shouwa Genroku Rakugo Shinjuu,8.56
106,Shingeki no Kyojin,8.55
107,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55
108,Yojouhan Shinwa Taikei,8.55
109,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.55
110,Kimi no Suizou wo Tabetai,8.55
111,Nana,8.55
112,Perfect Blue,8.55
113,Haikyuu!! To the Top Part 2,8.55
114,Fate/Zero 2nd Season,8.54
115,Fruits Basket 2nd Season,8.54
116,Slam Dunk,8.54
117,Zoku Natsume Yuujinchou,8.54
118,Steins;Gate 0,8.53
119,Mushishi: Hihamukage,8.53
120,Kara no Kyoukai Movie 5: Mujun Rasen,8.52
121,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52
122,Bakuman. 3rd Season,8.52
123,Gintama Movie 1: Shinyaku Benizakura-hen,8.52
124,Gintama.: Porori-hen,8.52
125,Hotaru no Haka,8.52
126,Shingeki no Kyojin Season 2,8.52
127,Shoujo☆Kageki Revue Starlight Movie,8.52
128,Spy x Family,8.52
129,Yuru Camp△ Season 2,8.52
130,Sora yori mo Tooi Basho,8.51
131,Ousama Ranking,8.51
132,Samurai Champloo,8.51
133,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.5
134,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.5
135,Tian Guan Cifu Special,8.5
136,Chainsaw Man,8.5
137,Mob Psycho 100,8.49
138,One Punch Man,8.49
139,Yakusoku no Neverland,8.49
140,Summertime Render,8.48
141,Uchuu Kyoudai,8.48
142,Ansatsu Kyoushitsu 2nd Season,8.48
143,Aria the Origination,8.48
144,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.48
145,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.48
146,Pluto,8.48
147,Rainbow: Nisha Rokubou no Shichinin,8.47
148,Banana Fish,8.47
149,Girls Band Cry,8.47
150,Chihayafuru 3,8.46
151,Gintama: The Semi-Final,8.46
152,Yuu☆Yuu☆Hakusho,8.46
153,Karakai Jouzu no Takagi-san Movie,8.46
154,Kimetsu no Yaiba,8.46
155,Mo Dao Zu Shi,8.46
156,Mo Dao Zu Shi: Xian Yun Pian,8.46
157,Nichijou,8.46
158,Owarimonogatari,8.45
159,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45
160,Zoku Owarimonogatari,8.44
161,"""Oshi no Ko"" 2nd Season",8.44
162,Bungou Stray Dogs 4th Season,8.44
163,Golden Kamuy 3rd Season,8.44
164,Haikyuu!!,8.44
165,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44
166,Jujutsu Kaisen 0 Movie,8.44
167,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.43
168,Mushishi Zoku Shou: Odoro no Michi,8.43
169,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43
170,Wu Liuqi: Xuanwu Guo Pian,8.43
171,Gintama: Yorinuki Gintama-san on Theater 2D,8.43
172,Grand Blue,8.43
173,Hunter x Hunter,8.42
174,Kono Oto Tomare! Part 2,8.42
175,Kono Subarashii Sekai ni Shukufuku wo! 3,8.42
176,Koukaku Kidoutai: Stand Alone Complex,8.42
177,Mononoke,8.42
178,Saenai Heroine no Sodatekata Fine,8.42
179,Shingeki no Kyojin: Kuinaki Sentaku,8.42
180,Tian Guan Cifu,8.42
181,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41
182,Yuru Camp△ Movie,8.41
183,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41
184,Saiki Kusuo no Ψ-nan,8.41
185,Saiki Kusuo no Ψ-nan 2,8.41
186,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4
187,Kamisama Hajimemashita: Kako-hen,8.4
188,Karakai Jouzu no Takagi-san 3,8.4
189,Major S5,8.4
190,Natsume Yuujinchou Roku Specials,8.4
191,Fruits Basket: Prelude,8.4
192,Gintama°: Aizome Kaori-hen,8.39
193,Houseki no Kuni,8.39
194,Josee to Tora to Sakana-tachi,8.39
195,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39
196,Vivy: Fluorite Eye's Song,8.39
197,Chihayafuru 2,8.38
198,Cowboy Bebop: Tengoku no Tobira,8.38
199,Doupo Cangqiong: Nian Fan,8.38
200,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.38
201,Kaze ga Tsuyoku Fuiteiru,8.38
202,Made in Abyss Movie 2: Hourou Suru Tasogare,8.37
203,Mahou Shoujo Madoka★Magica,8.37
204,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37
205,Mushoku Tensei: Isekai Ittara Honki Dasu,8.37
206,Non Non Biyori Nonstop,8.37
207,Ramayana: The Legend of Prince Rama,8.37
208,Tensei shitara Slime Datta Ken 2nd Season,8.37
209,3-gatsu no Lion,8.37
210,Barakamon,8.37
211,Blue Giant,8.37
212,Cross Game,8.37
213,Baccano!,8.36
214,Haikyuu!! To the Top,8.36
215,Kimetsu no Yaiba: Mugen Ressha-hen,8.36
216,Kizumonogatari I: Tekketsu-hen,8.36
217,Wu Shan Wu Xing: Xichuan Huan Zi Lin,8.36
218,Shinseiki Evangelion,8.35
219,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35
220,Gintama: Shiroyasha Koutan,8.35
221,Hellsing Ultimate,8.35
222,Initial D First Stage,8.35
223,K-On! Movie,8.35
224,Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.35
225,Kaijuu 8-gou,8.35
226,Kaze no Tani no Nausicaä,8.35
227,Meitantei Conan Movie 26: Kurogane no Submarine,8.35
228,Tunshi Xingkong 3rd Season,8.34
229,Usagi Drop,8.34
230,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.34
231,Bakuman. 2nd Season,8.34
232,Fumetsu no Anata e,8.34
233,Girls & Panzer: Saishuushou Part 4,8.34
234,Dr. Stone: New World Part 2,8.33
235,IDOLiSH7 Third Beat! Part 2,8.33
236,Kidou Senshi Gundam: The Origin,8.33
237,Kiseijuu: Sei no Kakuritsu,8.33
238,Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33
239,One Outs,8.33
240,Psycho-Pass,8.33
241,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33
242,Versailles no Bara,8.33
243,Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32
244,Uchuu Senkan Yamato 2199,8.32
245,Bakemonogatari,8.32
246,Douluo Dalu 2nd Season,8.32
247,Fate/stay night: Unlimited Blade Works 2nd Season,8.32
248,Hibike! Euphonium 2,8.32
249,Major S6,8.32
250,Romeo no Aoi Sora,8.32
251,Kingdom 2nd Season,8.31
252,Luo Xiao Hei Zhan Ji (Movie),8.31
253,Natsume Yuujinchou,8.31
254,Natsume Yuujinchou Go Specials,8.31
255,NHK ni Youkoso!,8.31
256,Ookami to Koushinryou II,8.31
257,Sasaki to Miyano Movie: Sotsugyou-hen,8.31
258,Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.31
259,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.31
260,Given,8.31
261,Hunter x Hunter: Original Video Animation,8.31
262,86,8.3
263,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.3
264,Ashita no Joe,8.3
265,Boku dake ga Inai Machi,8.3
266,Diamond no Ace: Second Season,8.3
267,Evangelion Movie 2: Ha,8.3
268,Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.3
269,Katanagatari,8.3
270,Kemono no Souja Erin,8.3
271,Ore dake Level Up na Ken,8.3
272,Sakamichi no Apollon,8.3
273,Kuroko no Basket 3rd Season,8.29
274,Meitantei Conan Movie 06: Baker Street no Bourei,8.29
275,Steins;Gate: Oukoubakko no Poriomania,8.29
276,Suzume no Tojimari,8.29
277,Violet Evergarden: Recollections,8.29
278,Beck,8.29
279,Initial D Final Stage,8.29
280,Boku no Hero Academia 6th Season,8.28
281,Doukyuusei (Movie),8.28
282,Gintama: Shinyaku Benizakura-hen,8.28
283,Hotarubi no Mori e,8.28
284,Kage no Jitsuryokusha ni Naritakute!,8.28
285,Kino no Tabi: The Beautiful World,8.28
286,Major: World Series,8.28
287,Redline,8.28
288,Rurouni Kenshin: Meiji Kenkaku Romantan,8.28
289,Tokyo Godfathers,8.28
290,Tunshi Xingkong 2nd Season,8.28
291,Yuukoku no Moriarty Part 2,8.28
292,Shirobako,8.27
293,Tenki no Ko,8.27
294,Tsubasa: Tokyo Revelations,8.27
295,Yuru Camp△,8.27
296,Diamond no Ace: Act II,8.27
297,Dr. Stone,8.27
298,Fate/Zero,8.27
299,Gin no Saji 2nd Season,8.27
300,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.27
301,Koukaku Kidoutai,8.27
302,Naruto: Shippuuden,8.27
303,Nodame Cantabile,8.26
304,Shinsekai yori,8.26
305,Space☆Dandy 2nd Season,8.26
306,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26
307,Tenkuu no Shiro Laputa,8.26
308,Blue Lock,8.26
309,Gyakkyou Burai Kaiji: Ultimate Survivor,8.26
310,Hajime no Ippo: Champion Road,8.26
311,Boku no Kokoro no Yabai Yatsu,8.25
312,Dororo,8.25
313,Hunter x Hunter: Greed Island Final,8.25
314,Kobayashi-san Chi no Maid Dragon S,8.25
315,Kono Subarashii Sekai ni Shukufuku wo! 2,8.25
316,Kuroshitsuji Movie: Book of the Atlantic,8.25
317,Mushoku Tensei II: Isekai Ittara Honki Dasu,8.25
318,Planetes,8.25
319,Spy x Family Part 2,8.25
320,Stranger: Mukou Hadan,8.25
321,Tonari no Totoro,8.25
322,World Trigger 3rd Season,8.25
323,Tanoshii Muumin Ikka,8.24
324,Yubisaki to Renren,8.24
325,Bakemono no Ko,8.24
326,Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.24
327,Golden Kamuy 2nd Season,8.24
328,Gyakkyou Burai Kaiji: Hakairoku-hen,8.24
329,Hajime no Ippo: Mashiba vs. Kimura,8.24
330,Meitantei Conan: Episode One - Chiisaku Natta Meitantei,8.24
331,Non Non Biyori Movie: Vacation,8.24
332,Sennen Joyuu,8.24
333,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23
334,Kimetsu no Yaiba: Katanakaji no Sato-hen,8.23
335,Nodame Cantabile Finale,8.23
336,Re:Zero kara Hajimeru Isekai Seikatsu,8.23
337,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23
338,Wu Liuqi: Zui Qiang Fa Xing Shi,8.23
339,Youjo Senki Movie,8.23
340,Danshi Koukousei no Nichijou,8.23
341,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.23
342,Fairy Tail: 100-nen Quest,8.23
343,Haikyuu!! Movie 4: Concept no Tatakai,8.23
344,IDOLiSH7 Third Beat!,8.23
345,Doupo Cangqiong 4th Season,8.22
346,Kamisama Hajimemashita◎,8.22
347,Kimetsu no Yaiba: Hashira Geiko-hen,8.22
348,Kono Sekai no Katasumi ni,8.22
349,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.22
350,Majo no Takkyuubin,8.22
351,Major S3,8.22
352,Mimi wo Sumaseba,8.22
353,Ookami to Koushinryou,8.22
354,Sasaki to Miyano,8.22
355,Shen Yin Wangzuo 2nd Season,8.22
356,Shoujo Shuumatsu Ryokou,8.22
357,Tengoku Daimakyou,8.22
358,Trigun,8.22
359,Shoujo Kakumei Utena,8.21
360,SKET Dance,8.21
361,Tunshi Xingkong 4th Season,8.21
362,xxxHOLiC◆Kei,8.21
363,BanG Dream! It's MyGO!!!!!,8.21
364,Bungou Stray Dogs 3rd Season,8.21
365,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,8.21
366,Fate/strange Fake: Whispers of Dawn,8.21
367,Fruits Basket 1st Season,8.21
368,Great Pretender,8.21
369,Kaguya-hime no Monogatari,8.21
370,Kuroko no Basket 2nd Season,8.21
371,Liz to Aoi Tori,8.21
372,Magi: The Kingdom of Magic,8.21
373,Major S1,8.21
374,Quanzhi Gaoshou Specials,8.21
375,Meitantei Conan Movie 13: Shikkoku no Chaser,8.2
376,One Piece Movie 14: Stampede,8.2
377,ReLIFE: Kanketsu-hen,8.2
378,Saiki Kusuo no Ψ-nan: Kanketsu-hen,8.2
379,Vanitas no Karte Part 2,8.2
380,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.2
381,Berserk: Ougon Jidai-hen III - Kourin,8.2
382,Horimiya,8.2
383,InuYasha: Kanketsu-hen,8.2
384,Asobi Asobase,8.19
