Title,Score
Sousou no Frieren,9.35
Fullmetal Alchemist: Brotherhood,9.09
Steins;Gate,9.07
Gintama°,9.06
Shingeki no Kyojin Season 3 Part 2,9.05
Gintama: The Final,9.04
Gintama',9.03
Hunter x Hunter (2011),9.03
Ginga Eiyuu Densetsu,9.02
Gintama': Enchousen,9.02
Bleach: Sennen Kessen-hen,9.01
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.01
Gintama.,8.98
Fruits Basket: The Final,8.97
Monogatari Series: Off & Monster Season,8.97
Koe no Katachi,8.93
Clannad: After Story,8.93
Gintama,8.93
3-gatsu no Lion 2nd Season,8.92
Code Geass: Hangyaku no Lelouch R2,8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9
Kusuriya no Hitorigoto,8.9
Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.89
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88
Monster,8.88
Owarimonogatari 2nd Season,8.87
Violet Evergarden Movie,8.86
Kimi no Na wa.,8.84
Boku no Kokoro no Yabai Yatsu 2nd Season,8.83
Jujutsu Kaisen 2nd Season,8.82
Kingdom 3rd Season,8.82
Vinland Saga Season 2,8.81
Gintama.: Shirogane no Tamashii-hen,8.81
Mob Psycho 100 II,8.79
Kizumonogatari III: Reiketsu-hen,8.78
Bocchi the Rock!,8.78
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78
Shingeki no Kyojin: The Final Season,8.78
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.77
Sen to Chihiro no Kamikakushi,8.77
Hajime no Ippo,8.77
Shingeki no Kyojin: The Final Season Part 2,8.76
Monogatari Series: Second Season,8.76
Cowboy Bebop,8.75
Hibike! Euphonium 3,8.75
The First Slam Dunk,8.75
Vinland Saga,8.75
Kimetsu no Yaiba: Yuukaku-hen,8.74
Kingdom 4th Season,8.74
Kingdom 5th Season,8.73
Shiguang Dailiren,8.73
Mushishi Zoku Shou 2nd Season,8.72
One Piece,8.72
Ashita no Joe 2,8.72
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.71
Mob Psycho 100 III,8.71
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.7
86 Part 2,8.7
Code Geass: Hangyaku no Lelouch,8.7
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.69
Great Teacher Onizuka,8.69
Mo Dao Zu Shi: Wanjie Pian,8.69
Mushishi Zoku Shou,8.69
Tian Guan Cifu Er,8.68
Violet Evergarden,8.68
Haikyuu!! Movie: Gomisuteba no Kessen,8.67
Hajime no Ippo: New Challenger,8.67
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.66
Howl no Ugoku Shiro,8.66
Mononoke Hime,8.66
Mushishi,8.66
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.66
Odd Taxi,8.66
Made in Abyss,8.64
Natsume Yuujinchou Shi,8.64
Shigatsu wa Kimi no Uso,8.64
"""Oshi no Ko""",8.64
Bungou Stray Dogs 5th Season,8.64
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.63
Made in Abyss: Retsujitsu no Ougonkyou,8.63
Shiguang Dailiren II,8.63
Tengen Toppa Gurren Lagann,8.63
Shingeki no Kyojin Season 3,8.62
Death Note,8.62
Haikyuu!! Second Season,8.62
Ping Pong the Animation,8.62
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.61
Natsume Yuujinchou Roku,8.61
Dungeon Meshi,8.61
Cyberpunk: Edgerunners,8.6
Hajime no Ippo: Rising,8.6
Suzumiya Haruhi no Shoushitsu,8.6
Jujutsu Kaisen,8.6
Kenpuu Denki Berserk,8.59
Mushishi Zoku Shou: Suzu no Shizuku,8.59
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.59
Shin Evangelion Movie:||,8.59
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.58
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.58
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.57
Kizumonogatari II: Nekketsu-hen,8.57
Natsume Yuujinchou San,8.57
Ookami Kodomo no Ame to Yuki,8.57
Natsume Yuujinchou Go,8.56
Doupo Cangqiong: San Nian Zhi Yue,8.56
Shouwa Genroku Rakugo Shinjuu,8.56
Shingeki no Kyojin,8.55
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.55
Yojouhan Shinwa Taikei,8.55
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.55
Kimi no Suizou wo Tabetai,8.55
Nana,8.55
Perfect Blue,8.55
Haikyuu!! To the Top Part 2,8.55
Fate/Zero 2nd Season,8.54
Fruits Basket 2nd Season,8.54
Slam Dunk,8.54
Zoku Natsume Yuujinchou,8.54
Steins;Gate 0,8.53
Mushishi: Hihamukage,8.53
Kara no Kyoukai Movie 5: Mujun Rasen,8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52
Bakuman. 3rd Season,8.52
Gintama Movie 1: Shinyaku Benizakura-hen,8.52
Gintama.: Porori-hen,8.52
Hotaru no Haka,8.52
